case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_079,5,31052251,5956401,5.213257300843244,60893184,60893184,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_0_batchmerge_4_merge_0_20_merge_0_40,0.797,,,,,,,
case_080,5,292138,111314,2.6244497547478303,4190208,,,a_affinity_64_bundle_4,1.391,,,,,,,
case_081,5,151795,30943,4.905632937982743,0,0,0,seed_reference_a_affinity_64_bundle_5,0.203,,,,,,,
case_082,5,721041,218422,3.301137248079406,3451810,3451810,0,fork_separators_3,11.969,,,,,,,
case_083,5,1057993,285832,3.701450502393014,6897184,3798816,3098368,round5_round2_round1_structure_affinity_64_bundle_4_worksplit_0_4_0_worksplit_2_0_1_worksplit_1_2_1,13.094,,,,,,,
case_084,5,2507412,503472,4.98024120507198,0,0,0,seed_reference_a_affinity_64_bundle_5,0.484,,,,,,,
case_085,5,3187899,791796,4.026162041738023,15523714,15523714,0,fork_separators_3,55.672,,,,,,,
case_086,5,118403,60605,1.9536836894645657,2225154,2225154,0,fork_separators_3,4.875,,,,,,,
case_087,5,3974071,833349,4.768795546643723,12487680,,,a_affinity_64_bundle_5,0.562,,,,,,,
case_088,5,243623,98577,2.471397993446747,2641850,2641850,0,fork_separators_3,10.75,,,,,,,
case_089,5,693092,147432,4.701096098540344,954880,954880,0,seed_reference_a_affinity_64_bundle_5,15.906,,,,,,,
case_090,5,1178363,456367,2.582051287669792,22602240,16402680,6199560,seed_reference_a_refine1_merge_2_3,4.422,,,,,,,
case_091,5,9186769,2015028,4.559127218083322,111883264,,,a_affinity_64_bundle_0,150.688,,,,,,,
case_092,5,4815554,1661234,2.89878126741928,66980256,3721600,63258656,fork_separators_3,98.079,,,,,,,
case_093,5,74205,15876,4.674036281179139,32768,,,a_affinity_64_bundle_5,0.344,,,,,,,
case_094,5,94892,21573,4.3986464562184215,424800,,,a_affinity_64_bundle_5,1.266,,,,,,,
case_095,5,2084853,420852,4.953886401870491,0,,,a_affinity_64_bundle_5,0.094,,,,,,,
case_096,5,84194,26984,3.120145271271865,79488,,,a_affinity_64_bundle_4,3.578,,,,,,,
case_097,5,11491509,2102348,5.466035594487687,21311488,,,a_affinity_64_bundle_5,0.157,,,,,,,
case_098,5,177430,51345,3.4556431979744864,639256,,,a_affinity_64_bundle_5,1.797,,,,,,,
case_099,5,1622999,339475,4.780908756167611,10698752,,,a_affinity_64_bundle_5,0.141,,,,,,,
case_100,5,151223,44830,3.3732545170644657,1134408,,,a_affinity_64_bundle_4,1.765,,,,,,,
