case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_034,3,ok,842996,316773,2.6611990289576446,5599656,479166,1.5126478582454943,v4_idblock_8,,8.992,,,,,,,
case_034,4,ok,842996,259879,3.2438019232027213,6365592,490435,1.8871667198965671,v4_idblock_8,,9.529,,,,,,,
case_034,5,ok,842996,224721,3.7513005015107623,6978504,431932,1.9220811584142115,v4_idblock_8,,9.167,,,,,,,
case_035,2,ok,169571,118959,1.425457510570869,156018,176020,1.4796694659504535,v4_idblock_24,,7.489,,,,,,,
case_035,3,ok,169571,115138,1.472763119039761,1249080,176418,1.5322308881516093,v4_idblock_2,,7.507,,,,,,,
case_035,4,ok,169571,105862,1.6018117927112656,1551776,173170,1.6358088832631161,v4_idblock_2,,7.494,,,,,,,
case_035,5,ok,169571,95586,1.7740150231205407,1544552,173330,1.81334086581717,v4_idblock_2,,7.236,,,,,,,
case_036,2,ok,931510,466068,1.998656848356892,1152,722515,1.5502351588180265,v4_idblock_1,,5.016,,,,,,,
case_036,3,ok,931510,311345,2.991890025534375,2304,531338,1.706589153511378,v4_idblock_1,,4.2,,,,,,,
case_036,4,ok,931510,233584,3.987901568600589,3456,433996,1.857986848414275,v4_idblock_1,,4.239,,,,,,,
case_036,5,ok,931510,187182,4.976493466252097,4608,396947,2.120647284461113,v3_seed,,4.113,,,,,,,
case_037,2,ok,210001,116503,1.8025372737182734,1044480,130916,1.1237135524407096,v4_idblock_8,,1.26,,,,,,,
case_037,3,ok,210001,77858,2.6972308561740603,2123776,98209,1.2613861131804054,v4_idblock_8,,1.318,,,,,,,
case_037,4,ok,210001,66472,3.159239980743772,2752512,90803,1.3660338187507521,v4_idblock_8,,1.388,,,,,,,
case_037,5,ok,210001,74714,2.8107315897957545,3112960,96013,1.2850737478919614,v4_idblock_8,,1.375,,,,,,,
case_038,2,ok,1364555,693074,1.9688445966808739,5131960,1122951,1.6202469000424198,v4_idblock_24,,13.624,,,,,,,
case_038,3,ok,1364555,499795,2.730229394051561,8595748,1034601,2.070050720795526,v4_idblock_16,,13.734,,,,,,,
case_038,4,ok,1364555,400441,3.4076305872775263,5778276,878404,2.1935915652992577,v4_idblock_24,,13.829,,,,,,,
case_038,5,ok,1364555,324365,4.206850307523931,10786396,777060,2.395634547500501,v4_idblock_16,,14.108,,,,,,,
case_039,2,ok,1435262,711701,2.016664301441195,12333056,1109763,1.5593107217778253,v4_idblock_32,,12.23,,,,,,,
case_039,3,ok,1435262,518151,2.7699685998869055,17768448,870715,1.6804271341751729,v4_idblock_24,,12.825,,,,,,,
case_039,4,ok,1435262,426526,3.3650047124911495,18235392,783937,1.837958295625589,v4_idblock_24,,12.107,,,,,,,
case_039,5,ok,1435262,344961,4.160650044497784,10522624,725256,2.1024289702314176,v4_idblock_48,,12.19,,,,,,,
case_040,2,ok,253454,178686,1.4184323338146245,717954,279927,1.5665860783721164,v4_idblock_4,,5.435,,,,,,,
case_040,3,ok,253454,136890,1.8515158156183797,1564672,283622,2.0718971436920155,v3_seed,,5.637,,,,,,,
case_040,4,ok,253454,157115,1.6131750628520511,3193726,293019,1.864996976736785,v4_idblock_1,,5.553,,,,,,,
case_040,5,ok,253454,124242,2.040002575618551,2986700,293607,2.363186362099773,v4_idblock_1,,5.372,,,,,,,
case_041,2,ok,6003957,3033370,1.9793025578811685,29367436,4666125,1.5382643726284628,v4_idblock_24,,50.94,,,,,,,
case_041,3,ok,6003957,2064108,2.908741693748583,30479040,3861419,1.8707446509581862,v4_idblock_24,,48.264,,,,,,,
case_041,4,ok,6003957,1597763,3.7577268969177533,39430860,3883752,2.4307434832324946,v4_idblock_16,,46.923,,,,,,,
case_041,5,ok,6003957,1285188,4.671656598100823,40469412,3557401,2.7680004793073074,v4_idblock_16,,45.388,,,,,,,
case_042,2,ok,1686740,868117,1.9429869476119002,4487304,1736820,2.0006750242190856,v4_idblock_4,,12.758,,,,,,,
case_042,3,ok,1686740,606615,2.780577466762279,9669484,1745993,2.8782555657212563,v4_idblock_4,,12.24,,,,,,,
case_042,4,ok,1686740,449843,3.7496193116265006,2874672,1566882,3.4831752411396866,v4_idblock_2,,11.562,,,,,,,
case_042,5,ok,1686740,384895,4.3823380402447425,11478336,1447999,3.762062380649268,v4_idblock_2,,12.287,,,,,,,
case_043,2,ok,677656,455017,1.4892982020451984,2289332,667575,1.4671429858664622,v4_idblock_8,,21.927,,,,,,,
case_043,3,ok,677656,419993,1.6134935582259704,5721394,679774,1.6185364994178475,v4_idblock_4,,21.87,,,,,,,
case_043,4,ok,677656,386997,1.751062669736458,6082948,679492,1.7558068925598906,v4_idblock_4,,21.348,,,,,,,
case_043,5,ok,677656,381093,1.7781906253854045,6540190,690974,1.8131374756293084,v4_idblock_4,,22.272,,,,,,,
case_044,2,ok,154407,82297,1.8762166300108145,0,82950,1.007934675626086,v3_seed,,1.796,,,,,,,
case_044,3,ok,154407,81945,1.8842760388065165,0,81945,1.0,v3_seed,,1.725,,,,,,,
case_044,4,ok,154407,81511,1.8943087436051576,0,81511,1.0,v3_seed,,1.836,,,,,,,
case_044,5,ok,154407,80741,1.912374134578467,0,80741,1.0,v3_seed,,1.755,,,,,,,
case_045,2,ok,125614,63059,1.99200748505368,0,214946,3.408649042959768,v4_idblock_4,,1.95,,,,,,,
case_045,3,ok,125614,44660,2.8126735333631885,0,253117,5.667644424540976,v4_idblock_8,,1.774,,,,,,,
case_045,4,ok,125614,37053,3.390116859633498,0,214021,5.776077510592934,v4_idblock_8,,1.987,,,,,,,
case_045,5,ok,125614,34994,3.589586786306224,0,212529,6.073298279705092,v4_idblock_4,,2.057,,,,,,,
case_046,2,ok,276455,166578,1.6596129140702853,3521632,225203,1.3519372306066828,v4_idblock_1,,1.185,,,,,,,
case_046,3,ok,276455,142176,1.9444561670042764,4021280,223259,1.5703001913121764,v4_idblock_1,,1.314,,,,,,,
case_046,4,ok,276455,124612,2.218526305652746,4513952,222475,1.7853417006387828,v4_idblock_1,,1.272,,,,,,,
case_046,5,ok,276455,124612,2.218526305652746,4513952,222475,1.7853417006387828,v4_idblock_8,,1.313,,,,,,,
case_047,2,ok,326508,215262,1.5167934888647323,869574,319871,1.4859612936793303,v4_idblock_4,,30.993,,,,,,,
case_047,3,ok,326508,209325,1.5598136868505912,1429452,319871,1.5281070106294041,v4_idblock_4,,30.307,,,,,,,
case_047,4,ok,326508,206889,1.5781796035555298,1755986,317644,1.5353353730744506,v4_idblock_4,,29.726,,,,,,,
case_047,5,ok,326508,205158,1.5914953353025474,2009624,330821,1.6125181567377338,v4_idblock_4,,28.461,,,,,,,
case_048,2,ok,222220,150276,1.4787457744416939,892262,219496,1.4606191274721179,v4_idblock_1,,2.537,,,,,,,
case_048,3,ok,222220,135690,1.637703589063306,1118538,210279,1.5497015255361486,v4_idblock_1,,2.648,,,,,,,
case_048,4,ok,222220,120392,1.8458037078875673,1192206,214599,1.7825021596119344,v4_idblock_1,,2.545,,,,,,,
case_048,5,ok,222220,100338,2.214714265781658,1064404,209005,2.0830094281329106,v4_idblock_1,,2.704,,,,,,,
case_049,2,ok,196276,138059,1.4216820344924996,628798,203706,1.4754996052412375,v4_idblock_8,,7.795,,,,,,,
case_049,3,ok,196276,121853,1.6107605065119448,1755192,200200,1.6429632425955865,v4_idblock_4,,7.64,,,,,,,
case_049,4,ok,196276,114097,1.720255572013287,1975850,207251,1.8164456558892872,v4_idblock_4,,7.642,,,,,,,
case_049,5,ok,196276,108111,1.815504435256357,2092300,200518,1.8547418856545588,v4_idblock_4,,7.797,,,,,,,
case_050,2,ok,149690,99352,1.5066631773894839,552730,150764,1.5174732265077704,v4_idblock_8,,7.822,,,,,,,
case_050,3,ok,149690,86181,1.7369257725020597,719356,154088,1.7879579025539272,v4_idblock_8,,7.692,,,,,,,
case_050,4,ok,149690,81982,1.825888609694811,840606,157974,1.9269351808933668,v4_idblock_8,,7.976,,,,,,,
case_050,5,ok,149690,80165,1.8672737478949666,1570256,158173,1.9730929956963763,v4_idblock_4,,7.973,,,,,,,
case_051,2,ok,607628,319230,1.903417598596623,394084,610548,1.9125646085894183,v4_idblock_1,,1.223,,,,,,,
case_051,3,ok,607628,239807,2.5338209476787585,591348,607628,2.5338209476787585,v4_idblock_1,,1.31,,,,,,,
case_051,4,ok,607628,194262,3.127878844035375,722708,687038,3.536656680153607,v4_idblock_1,,1.466,,,,,,,
case_051,5,ok,607628,171113,3.5510335275519687,526008,730037,4.266402903344574,v4_idblock_1,,1.361,,,,,,,
case_052,2,ok,180301,105362,1.7112526337768834,1023200,170489,1.618126079611245,v3_seed,,1.297,,,,,,,
case_052,3,ok,180301,78657,2.2922435384009052,1265544,132628,1.6861563497209402,v4_idblock_2,,1.316,,,,,,,
case_052,4,ok,180301,62193,2.899056163876964,2044936,131448,2.1135497564034536,v3_seed,,1.35,,,,,,,
case_052,5,ok,180301,56263,3.2046104900200842,1328242,131448,2.336313385350941,v4_idblock_2,,1.378,,,,,,,
case_053,2,ok,1472686,904983,1.6273079162813002,7125030,1400939,1.5480279740061416,v4_idblock_8,,26.359,,,,,,,
case_053,3,ok,1472686,706919,2.083245746683849,9568168,1419204,2.0075906857787102,v4_idblock_4,,25.118,,,,,,,
case_053,4,ok,1472686,608632,2.41966574218904,10578406,1394882,2.2918315172386596,v4_idblock_4,,24.8,,,,,,,
case_053,5,ok,1472686,549714,2.6790039911663155,7361800,1406917,2.5593617772150608,v4_idblock_24,,22.255,,,,,,,
case_054,2,ok,815051,697872,1.1679090148336657,1378182,870322,1.2471083522479767,v4_idblock_8,,32.8,,,,,,,
case_054,3,ok,815051,605723,1.3455837074042094,8227588,870322,1.4368316870912943,v4_idblock_2,,36.77,,,,,,,
case_054,4,ok,815051,601250,1.3555941787941788,9451534,871784,1.4499525987525987,v4_idblock_2,,37.094,,,,,,,
case_054,5,ok,815051,577200,1.4120772695772696,11141064,865507,1.499492376992377,v4_idblock_1,,36.761,,,,,,,
case_055,2,ok,118835,77384,1.5356533650367001,49240,129173,1.6692468727385505,v4_idblock_16,,1.366,,,,,,,
case_055,3,ok,118835,66631,1.783479161351323,786250,124139,1.8630817487355735,v4_idblock_2,,1.316,,,,,,,
case_055,4,ok,118835,64285,1.8485649840553784,1561558,118929,1.8500272225246948,v4_idblock_1,,1.454,,,,,,,
