case,cores,base_best,refine_speedup_increment,components_speedup_increment,affinity_speedup_increment,chains_speedup_increment
case_065,2,33410,0.0,0.0,0.4059011511404267,0.0
case_065,3,23513,0.0020175484796354226,0.0,0.6840084585422499,0.0
case_065,4,19530,0.06437779054236481,0.0,1.1374273357825593,0.0
case_065,5,19376,0.06957287523135003,0.0,1.848296593216153,0.0
case_066,2,353710,0.0016615849419407969,0.43019579193431,0.00031495814386062193,0.0
case_066,3,353710,0.0016615849419407969,0.42811701244643174,0.0789334509374886,0.0
case_066,4,354212,0.007830041480442418,0.4223239834852093,0.0016857034849471209,0.0
case_066,5,351903,0.00017110315383939145,0.4222755465821215,0.0020145425576147957,0.0
case_067,2,32475737,4.3458401515428235e-05,0.0,0.0,0.0
case_067,3,22084416,0.02018018565132662,0.0,0.0,0.0
case_067,4,18611772,0.009781850685277593,0.0,0.007441672736004712,0.19505309718870167
case_067,5,16710152,0.367924236779686,0.0,0.0,0.24457100919051644
case_068,2,357965,0.005892004076522461,0.17994297912217183,0.005577018858301752,0.0
case_068,3,358980,0.00516552074080745,0.1808431473973131,0.002144191823551189,0.0
case_068,4,355455,0.002427412760919845,0.1730385652488291,0.0,0.0
case_068,5,347819,0.004442625992935767,0.14736505087958518,0.000754964651225265,0.0
case_069,2,24766,0.01624353936435452,0.0,0.0,0.0
case_069,3,24766,0.01624353936435452,0.0,0.0,0.0
case_069,4,24766,0.01624353936435452,0.0,0.0,0.0
case_069,5,24766,0.01624353936435452,0.0,0.0,0.0
case_070,2,91878,0.015171441903678806,0.0,0.6592009036947168,0.0
case_070,3,73591,0.019180122638404073,0.0,1.3691036285744418,0.0
case_070,4,66351,0.02119341878578873,0.0,1.9675409968789492,0.0
case_070,5,67292,0.0503190294595135,0.0,2.6708514061268085,0.0
case_071,2,18765,0.0,0.0,0.0,0.0
case_071,3,18765,0.0,0.0,0.0,0.0
case_071,4,18765,0.0,0.0,0.0,0.0
case_071,5,18765,0.0,0.0,0.0,0.0
case_072,2,12135926,0.0,0.0,0.06086044801504764,0.0
case_072,3,8245488,0.00021548570543261647,0.0,0.12615240451168575,0.0
