case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_009,3,92198,95404,1.6064420779002977,704602,2.422484313551315,3,1419,local1_fixed_4_split_1358_1,41472,57348,44,33,11,10,94582,1.6204034594320271,95148,1.002690545255812,0.1479204268666655,0.16218090068696464,747098,local1_b_candidate_local1_fixed_4_split_1358_2_move_1348_0_207,1.0059842253282865,45,7
case_009,4,92207,87646,1.7486365607101293,859618,2.7354380496313584,4,1418,local1_fixed_4_move_1355_3_0,41472,36874,44,38,6,5,86960,1.7624310027598895,87098,1.006291763301109,0.21908242159590308,0.21908242159590308,859618,local1_paired_b_plan_split_1355_1,1.0015869365225392,45,6
case_009,5,92216,80068,1.9141354848378878,968808,2.9558760588857576,5,1419,local1_fixed_4_split_1358_1,41472,36870,44,33,11,9,79435,1.929388808459747,79595,1.0059425843331868,0.2156660293903516,0.2156660293903516,968808,local1_b_candidate_local1_fixed_4_split_1355_1_split_1351_1,1.0020142254673632,45,8
case_010,2,48318,51402,1.691938056884946,419900,2.093062605752961,2,667,local1_fixed_1_swap_0_19,39168,32780,72,41,31,11,51158,1.700007818913953,51158,1.0047695375112398,0.3681383366095922,0.3681383366095922,419900,local1_paired_b_plan_merge_253_254,1.0,73,29
case_010,3,30915,42369,2.052656423328377,412024,2.0725601978393855,3,666,local1_fixed_1_merge_289_295,81920,32774,72,42,30,10,41581,2.0915562396286766,41617,1.0180695388903573,0.22801540656715352,0.23316284431681764,412024,b_candidate_fixed_1,1.00086578004377,73,30
case_010,4,26426,36170,2.4044512026541334,552900,2.439281530652089,4,667,local1_fixed_1_swap_0_13,65536,32776,72,44,28,6,35023,2.4831967564172115,35100,1.0304843304843305,0.32695623408648933,0.32695623408648933,552900,local1_paired_b_plan_merge_254_261,1.0021985552351311,73,25
case_010,5,24576,31002,2.8052706277014385,671724,2.74859820382663,5,667,fixed_1,32768,32772,72,45,27,8,29582,2.9399296869718072,29582,1.0480021634777905,0.4095706677770716,0.4095706677770716,671724,b_candidate_local1_fixed_1_merge_247_254,1.0,73,26
case_011,2,92646,92646,1.9935777043801135,180224,1.2972972972972974,2,344,fixed_2,241664,0,72,48,24,0,92646,1.9935777043801135,92646,1.0,0.0,0.0,180224,b_candidate_local1_fixed_2_merge_0_1,1.0,73,22
case_011,3,69625,69625,2.6527396768402154,909312,2.5,3,344,local1_fixed_2_move_129_2_0,249856,0,72,48,24,0,68638,2.6908855153122175,69617,1.0001149144605483,0.4502840909090909,0.44929577464788734,929792,local1_paired_b_plan_move_301_2_43,1.0142632361082782,73,24
case_011,4,46880,46880,3.9397824232081913,540672,1.8918918918918919,4,344,fixed_2,200704,0,72,48,24,0,46880,3.9397824232081913,46880,1.0,0.0,0.0,540672,b_candidate_local1_fixed_2_merge_0_1,1.0,73,22
