case,cores,old_makespan,new_makespan,old_speedup,new_speedup,speedup_delta,old_added_bytes,new_added_bytes,old_groups,new_groups,old_active,new_active,old_source,new_source
case_067,2,32475737,32475019,1.9656161767783746,1.96565963517989,4.3458401515428235e-05,268331264,268243840,183,182,2,2,local1_fixed_48_merge_0_1,a_refine1_merge_0_2
case_067,3,22084416,21931301,2.890492281978387,2.9106724676297135,0.02018018565132662,268343552,268278016,184,183,3,3,local1_fixed_48_move_0_2_0,a_refine1_merge_105_106
case_067,4,18611772,17526997,3.4298095850303776,3.6420862056403616,0.21227662060998398,307260672,316494080,2201,3479,4,4,local1_fixed_4_move_0_1_0,a_chains_8
case_067,5,16710152,14401158,3.8201228809887544,4.432618126958957,0.6124952459702024,275648768,316494080,551,3479,5,5,local1_fixed_16_move_11_3_0,a_chains_8
case_068,2,357965,301006,1.0115374408112525,1.2029494428682486,0.19141200205699604,1861032,1172364,15,217,1,2,local1_adaptive_critical_383_split_5_2,a_affinity_4096_bundle_2
case_068,3,358980,302545,1.0086773636414286,1.1968302236031003,0.18815285996167175,1446404,8,12,6,1,3,local1_adaptive_reuse_512_split_4_1,a_affinity_64_bundle_2
case_068,4,355455,303225,1.018680283017541,1.19414626102729,0.17546597800974895,3876088,5184,45,32,1,4,adaptive_reuse_124,components_pipe
case_068,5,347819,303362,1.0410443362783517,1.193606977802098,0.1525626415237462,2701068,5192,35,34,2,5,local1_adaptive_memory_153_split_24_1,a_affinity_64_bundle_0
case_069,2,24766,24376,1.0152628603730922,1.0315063997374467,0.01624353936435452,297810,272944,10,9,2,2,local1_fixed_96_merge_4_5,a_refine1_merge_7_8
case_069,3,24766,24376,1.0152628603730922,1.0315063997374467,0.01624353936435452,297810,272944,10,9,2,2,local1_fixed_96_merge_4_5,a_refine1_merge_7_8
case_069,4,24766,24376,1.0152628603730922,1.0315063997374467,0.01624353936435452,297810,272944,10,9,2,2,local1_fixed_96_merge_4_5,a_refine1_merge_7_8
case_069,5,24766,24376,1.0152628603730922,1.0315063997374467,0.01624353936435452,297810,272944,10,9,2,2,local1_fixed_96_merge_4_5,a_refine1_merge_7_8
case_070,2,91878,60121,1.276693005942663,1.9510653515410588,0.6743723455983957,2010294,129536,148,2,2,2,local1_fixed_8_merge_0_1,a_affinity_64_bundle_2
case_070,3,73591,39333,1.5939449117419249,2.9822286629547707,1.3882837512128459,2010294,259072,148,3,3,3,local1_fixed_8_merge_7_8,a_affinity_64_bundle_3
case_070,4,66351,31225,1.767870868562644,3.756605284227382,1.988734415664738,2010294,360960,148,4,4,4,local1_fixed_8_merge_7_8,a_affinity_64_bundle_4
case_070,5,67292,26275,1.7431492599417464,4.464319695528069,2.7211704355863224,2010294,449024,148,5,5,5,local1_fixed_8_merge_7_8,a_affinity_64_bundle_5
case_071,2,18765,18765,1.008206767918998,1.008206767918998,0.0,58468,58468,2,2,1,1,local1_fixed_741_split_0_2,local1_fixed_741_split_0_2
case_071,3,18765,18765,1.008206767918998,1.008206767918998,0.0,58468,58468,2,2,1,1,local1_fixed_741_split_0_2,local1_fixed_741_split_0_2
case_071,4,18765,18765,1.008206767918998,1.008206767918998,0.0,58468,58468,2,2,1,1,local1_fixed_741_split_0_2,local1_fixed_741_split_0_2
case_071,5,18765,18765,1.008206767918998,1.008206767918998,0.0,58468,58468,2,2,1,1,local1_fixed_741_split_0_2,local1_fixed_741_split_0_2
case_072,2,12135926,11772092,1.9691804317198374,2.030040879734885,0.06086044801504764,266872712,175833776,618,476,2,2,local1_fixed_48_merge_8_9,a_affinity_64_bundle_0
case_072,3,8245488,7900998,2.898291526226222,3.0246594164433405,0.12636789021711836,267306888,175833776,619,476,3,3,local1_fixed_48_move_34_1_0,a_affinity_64_bundle_0
case_072,4,6291936,5960302,3.798167686384604,4.009499518648552,0.21133183226394747,120475016,175833776,79,476,4,4,local1_fixed_384_split_8_1,a_affinity_64_bundle_0
case_072,5,5411881,4816984,4.415808108123589,4.961159929117473,0.5453518209938837,267306888,175833776,619,476,5,5,local1_fixed_48_move_66_3_0,a_affinity_64_bundle_0
case_073,2,5625572,5624748,1.7921068293144236,1.7923693648142103,0.0002625354997867202,143505152,143488768,303,302,2,2,local1_fixed_16_move_11_1_0,a_refine1_merge_193_194
case_073,3,4357398,4056185,2.313680320227806,2.4854946211772884,0.17181430094948258,142488832,142488832,101,101,3,3,local1_fixed_48_move_3_1_0,a_refine1_move_5_2_0
case_073,4,3777105,3504812,2.6691410485014315,2.8765097814091027,0.20736873290767122,144973568,144973568,606,606,4,4,local2_fixed_8_split_0_1,a_refine1_move_42_3_0
case_073,5,3552693,3305399,2.8377419608167664,3.050048118245331,0.21230615742856473,143506176,143489792,304,303,5,5,local2_fixed_16_split_11_1,a_refine1_merge_38_39
case_074,2,989215,859741,1.7005797526321376,1.9566811400177495,0.25610138738561194,22528826,7496346,451,82,2,2,local1_fixed_8_merge_0_1,a_affinity_64_bundle_2
case_074,3,677117,578393,2.4844140672882236,2.908470538198076,0.42405647090985266,19104376,9216680,226,95,3,3,local1_fixed_16_move_7_0_0,a_affinity_64_bundle_3
case_074,4,619731,438898,2.7144664378577157,3.832870051811583,1.1184036139538671,19104376,9237166,226,106,4,4,local1_fixed_16_move_12_3_0,a_affinity_64_bundle_4
case_074,5,556647,366949,3.0220929960998624,4.584394561642081,1.5623015655422186,19219064,15557336,227,233,5,5,local2_fixed_16_split_0_1,a_affinity_64_bundle_0
case_075,2,1358850,1357733,1.0610508886190528,1.0619238097623023,0.0008729211432494388,16832206,16799438,1854,1853,2,2,local1_fixed_4_split_179_2,a_refine1_merge_910_911
case_075,3,1288773,1099067,1.1187455044449255,1.311848140286261,0.19310263584133547,16832206,21133422,1854,5480,3,3,local1_fixed_4_split_179_2,a_chains_8
case_075,4,1216451,874977,1.1852585924135046,1.6478250285436074,0.46256643613010273,26296718,21133422,7409,5480,4,4,local1_fixed_1_merge_1400_1401,a_chains_8
case_075,5,1080666,711096,1.334185585555574,2.02758699247359,0.6934014069180159,26296718,21133422,7409,5480,5,5,local1_fixed_1_merge_1457_1458,a_chains_8
case_076,2,4052690,3065465,1.5261747135852977,2.01767529559137,0.4915005820060725,177554620,32191488,2033,18,2,2,local1_fixed_16_move_704_1_0,a_affinity_64_bundle_2
case_076,3,3222796,2063432,1.91917608188666,2.9974881653478285,1.0783120834611686,177554620,36920320,2033,18,3,3,local1_fixed_16_move_704_1_0,a_affinity_64_bundle_3
case_076,4,3136399,1534042,1.9720427789959123,4.031905906096443,2.059863127100531,177554620,38413312,2033,18,4,4,local1_fixed_16_move_708_1_0,a_affinity_64_bundle_4
case_076,5,3179793,1245872,1.9451307050490394,4.964485115645909,3.0193544105968693,177554620,39716864,2033,20,5,5,local1_fixed_16_move_779_3_0,a_affinity_64_bundle_5
case_077,2,307998,248734,1.6081922609887078,1.9913642686564763,0.3831720076677685,3346662,57344,17,3,2,2,local1_adaptive_memory_208_merge_8_9,a_affinity_64_bundle_2
case_077,3,435292,168976,1.1379028330408094,2.9313038538017233,1.793401020760914,10328248,114688,1123,4,3,3,local1_fixed_4_split_1021_1,a_affinity_64_bundle_3
case_077,4,265142,127832,1.8681310392167216,3.8747731397459164,2.006642100529195,5303784,114688,37,5,3,4,local2_adaptive_memory_104_split_32_1,a_affinity_64_bundle_4
case_077,5,319710,115617,1.5492790341246754,4.284145065172077,2.734866031047402,6150956,172032,46,5,3,5,local2_adaptive_memory_83_split_40_1,a_affinity_64_bundle_5
case_078,2,1122919,1080972,2.044798422682313,2.1241466013920807,0.07934817870976785,16157568,15039360,66,8,2,2,local2_fixed_16_split_1_1,a_affinity_64_bundle_0
case_078,3,829390,817424,2.768472009549187,2.808998757070994,0.04052674752180696,15064584,14934792,11,10,3,3,local2_fixed_96_split_0_1,a_refine1_merge_5_6
case_078,4,669007,619540,3.4321658816723892,3.706206217516222,0.2740403358438326,16059264,15039360,63,8,4,4,local1_fixed_16_merge_0_1,a_affinity_64_bundle_0
case_078,5,657063,620100,3.4945553166134755,3.7028592162554426,0.20830389964196705,16132992,15039360,65,8,5,5,local2_fixed_16_split_0_1,a_affinity_64_bundle_0
case_079,2,15346109,14893820,2.0234608655523036,2.0849084385335663,0.06144757298126269,251308032,91508736,389,288,2,2,local1_fixed_48_merge_0_1,a_affinity_64_bundle_0
case_079,3,10397163,9965372,2.986608077607324,3.116015237564639,0.129407159957315,251940864,91508736,390,288,3,3,local1_fixed_48_move_0_1_0,a_affinity_64_bundle_0
case_079,4,9208237,7501148,3.372225432512217,4.1396664883828445,0.7674410558706275,380805120,91508736,1169,288,4,4,local1_fixed_16_merge_0_9,a_affinity_64_bundle_0
case_079,5,7857722,6063684,3.9518133881549895,5.121020653450938,1.1692072652959489,380743680,91508736,1169,288,5,5,local1_fixed_16_merge_45_61,a_affinity_64_bundle_0
case_080,2,212151,145926,1.3770286258372575,2.0019598974822856,0.6249312716450282,7827456,2191360,11,2,2,2,local2_adaptive_critical_122_split_1_2,a_affinity_64_bundle_2
case_080,3,177497,100325,1.645875704941492,2.9119162721156244,1.2660405671741324,7741440,3047424,10,3,3,3,local1_adaptive_critical_119_merge_8_9,a_affinity_64_bundle_3
case_080,4,198259,100325,1.4735169651819084,2.9119162721156244,1.438399306933716,9379840,3047424,14,3,4,3,local2_adaptive_critical_90_split_3_2,a_affinity_64_bundle_3
case_080,5,209056,111314,1.3974150466860553,2.6244497547478303,1.227034708061775,10248192,4190208,17,4,5,4,local1_adaptive_critical_72_merge_0_5,a_affinity_64_bundle_4
case_081,2,92252,76860,1.6454385812773706,1.9749544626593807,0.32951588138201005,711284,0,72,2,2,2,local1_fixed_48_merge_4_5,a_affinity_64_bundle_2
case_081,3,80173,51943,1.8933431454479688,2.9223379473653814,1.0289948019174127,1436850,0,146,3,3,3,local1_fixed_24_move_1_1_0,a_affinity_64_bundle_3
