case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_032,5,41443,14073,2.9448589497619557,82032,local1_fixed_24_merge_29_30,6.487,,,,,,,
case_033,2,1774196,948152,1.8712147419401108,12898424,local1_fixed_8_split_22_1,52.413,,,,,,,
case_033,3,1774196,675566,2.62623637068769,17176740,local1_fixed_8_split_22_1,53.831,,,,,,,
case_033,4,1774196,536561,3.3066063318057033,24113996,local1_fixed_4_move_50_1_0,68.231,,,,,,,
case_033,5,1774196,474621,3.738132109620097,13261996,local1_a_selected_move_53_4_13,51.719,,,,,,,
case_034,2,842996,434660,1.9394377214374454,2193484,fixed_16,44.477,,,,,,,
case_034,3,842996,310533,2.714674446838178,5596584,local1_fixed_8_move_295_2_69,49.615,,,,,,,
case_034,4,842996,253639,3.3236055969310714,6260120,local1_fixed_8_move_248_3_65,46.741,,,,,,,
case_034,5,842996,216638,3.8912656136042614,6952904,local1_fixed_8_move_245_0_47,49.297,,,,,,,
case_035,2,169571,118452,1.4315587748623915,156018,local1_fixed_24_merge_123_124,35.869,,,,,,,
case_035,3,169571,114524,1.480659075826901,1249080,local1_fixed_2_merge_1474_1479,39.693,,,,,,,
case_035,4,169571,105834,1.6022355764688097,1551776,local1_fixed_2_merge_1855_1856,38.327,,,,,,,
case_035,5,169571,85995,1.9718704575847432,248118,local1_a_selected_move_154_4_0,35.471,,,,,,,
case_036,2,931510,466068,1.998656848356892,1152,a_selected,34.129,,,,,,,
case_036,3,931510,311345,2.991890025534375,2304,fixed_1,28.21,,,,,,,
case_036,4,931510,233584,3.987901568600589,3456,fixed_1,26.026,,,,,,,
case_036,5,931510,187182,4.976493466252097,4608,a_selected,30.068,,,,,,,
case_037,2,210001,107927,1.9457688993486337,729088,local1_a_selected_move_8_1_7,6.628,,,,,,,
case_037,3,210001,74011,2.837429571279945,2058240,local1_fixed_8_move_5_0_0,7.773,,,,,,,
case_037,4,210001,65878,3.1877257961686754,2752512,local1_fixed_8_merge_25_39,8.477,,,,,,,
case_037,5,210001,72471,2.897724607084213,3055616,local1_fixed_8_move_11_0_0,9.712,,,,,,,
case_038,2,1364555,710415,1.9207857379137547,7175944,a_selected,67.852,,,,,,,
case_038,3,1364555,499748,2.7304861650271737,8698660,local1_fixed_16_move_226_1_56,74.245,,,,,,,
case_038,4,1364555,403599,3.3809672471933774,9441092,local1_a_selected_move_205_0_0,70.898,,,,,,,
case_038,5,1364555,321219,4.248051952094988,10703452,local1_fixed_16_move_208_3_33,72.739,,,,,,,
case_039,2,1435262,731052,1.9632830496325844,10723328,local1_a_selected_move_53_1_25,60.319,,,,,,,
case_039,3,1435262,550615,2.6066525612269915,21016576,local1_fixed_16_move_1_0_0,64.501,,,,,,,
case_039,4,1435262,438148,3.2757470078603577,10788864,local1_fixed_48_move_3_1_0,59.544,,,,,,,
case_039,5,1435262,335425,4.27893567861668,11079680,local1_fixed_48_move_3_4_0,58.319,,,,,,,
case_040,2,253454,178488,1.4200058267222446,717954,local1_fixed_4_split_3_1,30.343,,,,,,,
case_040,3,253454,135089,1.8762001347259956,1564672,local1_a_selected_merge_4_7,29.726,,,,,,,
case_040,4,253454,156892,1.6154679652244857,3179902,local1_fixed_1_move_3017_1_376,40.793,,,,,,,
case_040,5,253454,124168,2.0412183493331617,2986700,local1_fixed_1_swap_0_10,40.352,,,,,,,
case_041,2,6003957,3027536,1.9831166334603454,35010916,local1_a_selected_move_27_0_0,277.447,,,,,,,
case_041,3,6003957,2076367,2.891568301750124,38865632,local1_fixed_16_move_10_0_0,273.015,,,,,,,
case_041,4,6003957,1596198,3.761411178312465,39504588,local1_fixed_16_move_37_3_0,259.898,,,,,,,
case_041,5,6003957,1284104,4.6756002629070545,40316836,local1_fixed_16_move_4_0_0,275.133,,,,,,,
case_042,2,1686740,861574,1.957742457409346,4522120,local1_fixed_4_move_44_0_0,64.557,,,,,,,
case_042,3,1686740,604000,2.792615894039735,9667436,local1_fixed_4_move_142_1_0,66.292,,,,,,,
case_042,4,1686740,448283,3.7626677790592105,2903344,local1_fixed_2_move_382_2_0,52.692,,,,,,,
case_042,5,1686740,383193,4.401802746918655,11488576,local1_fixed_2_move_480_3_0,56.116,,,,,,,
case_043,2,677656,482993,1.4030348265916897,4019720,fixed_4,94.635,,,,,,,
case_043,3,677656,419993,1.6134935582259704,5721394,fixed_4,87.091,,,,,,,
case_043,4,677656,386997,1.751062669736458,6082948,fixed_4,105.002,,,,,,,
case_043,5,677656,381093,1.7781906253854045,6540190,fixed_4,103.967,,,,,,,
case_044,2,154407,82205,1.878316404111672,0,adaptive_reuse_63,9.85,,,,,,,
case_044,3,154407,80927,1.907978795704771,0,local1_adaptive_reuse_42_merge_17_18,11.614,,,,,,,
case_044,4,154407,76983,2.0057285374693112,54784,local1_adaptive_critical_31_move_16_1_0,11.669,,,,,,,
case_044,5,154407,75601,2.042393619132022,26624,local1_adaptive_critical_25_move_42_1_0,11.761,,,,,,,
