case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_052,2,ok,180301,105362,1.7112526337768834,1023200,170489,1.618126079611245,paired_b_plan,0.308,0.772,105362,105362,1023200,1023200,1.0,0.08884492915831577,0.08884492915831577
case_052,3,ok,180301,86845,2.0761241291956933,1015808,132518,1.5259139846853589,paired_b_plan,0.317,0.808,86844,86845,1015808,1015808,0.9999884852323104,0.06614060132596492,0.06614060132596492
case_052,4,ok,180301,62064,2.905081850992524,2044936,131390,2.117008249548853,paired_b_plan,0.355,0.868,62193,62064,2044936,2044936,1.0020784996133023,0.08252058055344332,0.08252058055344332
case_052,5,ok,180301,56423,3.1955231022809847,1927752,131390,2.3286602981053828,paired_b_plan,0.36,0.877,57238,56423,1927752,1927752,1.0144444641369654,0.1319466470794451,0.1319466470794451
case_053,2,ok,1472686,1400939,1.0512135075117475,920068,1400939,1.0,paired_b_plan,6.061,18.385,1400939,1400939,920068,920068,1.0,0.002057487032832303,0.002057487032832303
case_053,3,ok,1472686,1412683,1.042474497109401,5374048,1419204,1.0046160391255505,v3_idblock_128,5.951,18.052,1415169,1415169,825600,825600,1.0,0.0006958896000144977,0.5516770185428637
case_053,4,ok,1472686,1394882,1.0557781948580596,813568,1394882,1.0,paired_b_plan,6.265,18.538,1394882,1394882,813568,813568,1.0,0.0013938268714575835,0.0013938268714575835
case_053,5,ok,1472686,1263079,1.165949239912943,1222196,1406917,1.113878862683965,paired_b_plan,6.128,18.155,1263079,1263079,1222196,1222196,1.0,0.008574605883184407,0.008574605883184407
case_054,2,ok,815051,790162,1.0314986040837195,77126,870322,1.10144755126164,paired_b_plan,7.12,26.011,790162,790162,77126,77126,1.0,4.255805526710651e-05,4.255805526710651e-05
case_054,3,ok,815051,790162,1.0314986040837195,77126,870322,1.10144755126164,paired_b_plan,7.182,26.304,790162,790162,77126,77126,1.0,4.255805526710651e-05,4.255805526710651e-05
case_054,4,ok,815051,790162,1.0314986040837195,77126,871784,1.1032978047539619,paired_b_plan,7.246,26.529,790162,790162,77126,77126,1.0,4.255805526710651e-05,4.255805526710651e-05
case_054,5,ok,815051,790162,1.0314986040837195,77126,865507,1.0953538641443148,paired_b_plan,7.548,26.813,790162,790162,77126,77126,1.0,4.255805526710651e-05,4.255805526710651e-05
case_055,2,ok,118835,101410,1.1718272359727837,262204,129035,1.2724090326397792,paired_b_plan,0.305,0.816,101410,101410,262204,262204,1.0,0.0,0.0
case_055,3,ok,118835,101684,1.1686696038708155,262228,123473,1.214281499547618,paired_b_plan,0.304,0.872,101684,101684,262228,262228,1.0,0.0,0.0
case_055,4,ok,118835,101737,1.168060784178814,282732,118476,1.164532077808467,paired_b_plan,0.32,0.922,101737,101737,282732,282732,1.0,0.0,0.0
case_055,5,ok,118835,84305,1.4095842476721427,1138794,117839,1.3977700017792538,paired_b_plan,0.345,0.948,85138,84305,1138794,1138794,1.0098807899887314,0.19768234492160872,0.19768234492160872
case_056,2,ok,277285,272373,1.018034092953413,0,275734,1.012339695931682,paired_b_plan,2.944,8.845,272373,272373,0,0,1.0,0.0,0.0
case_056,3,ok,277285,272373,1.018034092953413,0,279638,1.0266729815363491,paired_b_plan,3.142,9.097,272373,272373,0,0,1.0,0.0,0.0
case_056,4,ok,277285,272362,1.0180752087295584,107154,283122,1.039506245364625,paired_b_plan,3.262,9.135,272362,272362,107154,107154,1.0,0.07696931992142991,0.07696931992142991
case_056,5,ok,277285,269650,1.0283144817355832,100114,295965,1.0975894678286668,paired_b_plan,3.391,9.742,269650,269650,100114,100114,1.0,0.07792805225871745,0.07792805225871745
