case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_022,2,56780,28162,2.016192031815922,48140,48140,0,round6_round5_round4_round3_round2_round1_structure_affinity_4096_bundle_0_tensorlocal_2385_1_tensorlocal_2418_1_tensorlocal_2400_1_tensorlocal_2430_1_tensorlocal_2441_1_tensorlocal_2474_1,0.094,,,,,,,
case_022,3,56780,19090,2.9743321110529073,13824,13824,0,round1_structure_components_total_swap_0_0,0.094,,,,,,,
case_022,4,56780,14654,3.874709976798144,13824,13824,0,round1_structure_components_total_merge_0_8,0.094,,,,,,,
case_023,5,122614,24171,5.072773157916512,270912,270912,0,round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_2_split_5_1,0.078,,,,,,,
case_023,2,122614,52880,2.3187216338880483,822416,822416,0,polish_seed_reference_local1_fixed_1_move_904_1_249_critical_order,0.078,,,,,,,
case_023,3,122614,40339,3.0395894791640843,196608,196608,0,round3_round2_round1_structure_components_pipe_split_0_1_tensorlocal_2232_0_merge_2_3,0.094,,,,,,,
case_023,4,122614,29824,4.111252682403434,281280,281280,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_4_split_3_2_split_0_2_split_5_1,0.078,,,,,,,
case_024,5,2555343,695298,3.6751766868306825,399456,399456,0,round5_round2_round1_structure_chains_8_merge_0_5_tensorlocal_1000000035_2_tensorlocal_1000000039_2,0.281,,,,,,,
case_024,2,2555343,1334756,1.9144645163610428,396844,396844,0,round4_round3_round2_round1_seed_reference_fixed_1_tensorlocal_1000000035_0_tensorlocal_1000000047_1_merge_0_1_tensorlocal_1000000063_1,0.328,,,,,,,
case_024,3,2555343,953369,2.680329442220169,4032,4032,0,round1_seed_reference_a_affinity_64_bundle_3_split_0_1,0.266,,,,,,,
case_024,4,2555343,743612,3.436392903826189,4836,4836,0,round1_structure_affinity_64_bundle_0_tensorlocal_1000000031_1,0.281,,,,,,,
case_025,5,4863026,970612,5.010267748595731,124416,124416,0,round1_polish_seed_reference_fixed_4_memory_order_splitmove_3_4666_2_0,0.812,,,,,,,
case_025,2,4863026,2430220,2.0010641011924846,27648,27648,0,polish_seed_reference_local1_fixed_1_move_1_0_0_memory_order,0.984,,,,,,,
case_025,3,4863026,1618394,3.0048467802030903,55296,55296,0,polish_seed_reference_fixed_4_memory_order,0.828,,,,,,,
case_025,4,4863026,1209222,4.0216155511560325,96768,96768,0,round1_polish_seed_reference_fixed_4_memory_order_splitmove_3_4666_3_0,0.859,,,,,,,
case_026,5,99203,24692,4.0176170419569095,412296,412296,0,round5_round2_round1_structure_affinity_64_bundle_0_boundary_710_0_boundary_712_3_tensorlocal_634_3,0.079,,,,,,,
case_026,2,99203,43440,2.2836786372007367,375700,375700,0,round3_round2_round1_structure_affinity_4096_bundle_2_merge_11_14_boundary_223_61_boundary_252_13,0.062,,,,,,,
case_026,3,99203,33510,2.960399880632647,590336,590336,0,round6_round5_round2_round1_structure_affinity_4096_bundle_3_swap_0_1_boundary_210_39_boundary_223_71_boundary_243_71,0.078,,,,,,,
case_026,4,99203,28864,3.4369110310421287,465512,465512,0,round3_round2_round1_structure_affinity_64_bundle_0_split_38_1_boundary_712_2_move_78_1_11,0.079,,,,,,,
case_027,5,2363952,487545,4.848684736793527,5341184,5341184,0,round3_round2_round1_structure_components_total_splitmove_0_16_1_0_swap_1_0_worksplit_11_3_3,0.11,,,,,,,
